Label,Fault Type,OR Position,Severity (mils),Accuracy,Count
Normal,Normal,,0,1.0,947
IR_7,IR,,7,1.0,239
IR_14,IR,,14,0.9279661016949152,236
IR_21,IR,,21,1.0,237
IR_28,IR,,28,1.0,236
Ball_7,Ball,,7,0.9957627118644068,236
Ball_14,Ball,,14,1.0,237
Ball_21,Ball,,21,0.5822784810126582,237
Ball_28,Ball,,28,1.0,235
OR@6_7,OR,OR@6,7,1.0,238
OR@6_14,OR,OR@6,14,1.0,237
OR@6_21,OR,OR@6,21,0.9915611814345991,237
OR@3_7,OR,OR@3,7,1.0,237
OR@3_21,OR,OR@3,21,1.0,237
OR@12_7,OR,OR@12,7,1.0,237
OR@12_21,OR,OR@12,21,0.923728813559322,236
